"","uid","group","pre_duration_aa","pre_duration_as","pre_duration_dd","pre_duration_in","pre_duration_ii","post_duration_aa","post_duration_as","post_duration_dd","post_duration_in","post_duration_ii","pre_total_duration","post_total_duration"
"1","1402020007","cont",610,517,426,299,203,353,278,303,305,385,2055,1624
"2","1402020008","exp",333,160,221,220,206,365,333,269,360,253,1140,1580
"3","1402020016","exp",601,600,560,559,309,526,371,382,628,480,2629,2387
"4","1402020018","exp",593,601,317,308,311,570,346,310,405,252,2130,1883
"5","1402020019","exp",547,463,485,469,251,541,431,417,382,311,2215,2082
"6","1402020020","exp",517,519,335,456,442,315,214,174,344,385,2269,1432
"7","1402020025","cont",266,241,157,257,244,425,332,265,358,556,1165,1936
"8","1402020033","cont",213,84,22,27,3,263,212,0,375,320,349,1170
"9","1402020035","cont",600,446,201,133,359,580,339,452,422,597,1739,2390
"10","1402020039","cont",366,545,593,496,599,400,466,453,599,408,2599,2326
"11","1402020047","exp",591,345,423,390,320,490,294,252,455,194,2069,1685
"12","1402020058","cont",210,237,292,324,415,513,335,299,456,353,1478,1956
"13","1402020059","exp",533,587,561,558,308,265,227,140,269,451,2547,1352
"14","1402020061","cont",411,401,250,407,290,558,332,326,599,600,1759,2415
"15","1402020064","cont",514,600,491,537,259,342,320,289,378,348,2401,1677
"16","1402020065","exp",546,559,472,434,431,595,446,417,435,508,2442,2401
"17","1402020067","cont",600,573,598,398,351,511,513,575,311,372,2520,2282
"18","1402020072","exp",583,476,196,171,451,341,328,266,381,351,1877,1667
"19","1402020073","cont",556,594,524,414,443,465,581,572,386,335,2531,2339
"20","1402020075","cont",566,460,232,75,310,500,471,506,546,296,1643,2319
"21","1402020076","cont",509,584,522,462,276,265,356,216,515,227,2353,1579
"22","1402020079","exp",493,316,434,479,470,314,189,292,281,253,2192,1329
"23","1402020081","exp",600,601,568,563,0,448,269,296,339,554,2332,1906
"24","1402020086","cont",583,600,570,353,86,402,460,285,410,524,2192,2081
"25","1402020087","exp",565,404,408,459,394,314,0,0,0,0,2230,314
"26","1402020097","cont",588,592,517,558,421,404,503,300,380,0,2676,1587
"27","1402020102","exp",601,335,150,327,268,371,404,349,467,202,1681,1793
"28","1402020107","exp",601,600,525,554,21,472,504,324,393,328,2301,2021
"29","1402020111","exp",479,225,335,303,250,211,200,130,179,128,1592,848
"30","1402020112","exp",517,249,529,383,300,338,306,445,184,135,1978,1408
"31","1402020114","exp",146,102,116,109,296,267,328,305,301,0,769,1201
"32","1402020121","exp",592,289,321,275,276,401,174,284,241,302,1753,1402
"33","1402020124","cont",600,582,487,429,463,397,583,591,387,358,2561,2316
"34","1402020128","cont",559,600,449,392,326,505,426,594,585,543,2326,2653
"35","1402020132","exp",601,570,487,325,336,592,402,532,467,251,2319,2244
"36","1402020136","cont",282,301,373,533,239,176,38,40,86,156,1728,496
"37","1402021082","exp",601,330,264,345,328,269,198,348,278,472,1868,1565
